date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:02:21	74/74	---M--	200	added ('OK')	text/plain	date:Sun,%2001%20Sep%202024%2000:02:21%20GMT	https://mattpriorwatson.co.uk/robots.txt		(from )
01:02:21	46237/46237	---M--	200	added ('OK')	text/html	date:Sun,%2001%20Sep%202024%2000:02:21%20GMT	https://mattpriorwatson.co.uk/	C:/My%20Web%20Sites/Matt%20Prior%20Watson/mattpriorwatson.co.uk/index.html	(from )
01:02:22	1909/1909	---M--	200	added ('OK')	image/png	etag:ef5129c051cb9c138fc118c912da7148	https://cdn.myportfolio.com/261cb681-3385-486c-915a-04611e14df9f/9c489eed-e735-4d0b-8172-15e6fad2fcc9_carw_1x1x32.png?h=38541e7fdcd8c0083b051cb6851d7ff2	C:/My%20Web%20Sites/Matt%20Prior%20Watson/cdn.myportfolio.com/261cb681-3385-486c-915a-04611e14df9f/9c489eed-e735-4d0b-8172-15e6fad2fcc9_carw_1x1x328496.png	(from https://mattpriorwatson.co.uk/)
01:02:22	38448/38448	---M--	200	added ('OK')	image/jpeg	etag:9bc7f7eb8378d8ad6ed7e0d15125332b	https://cdn.myportfolio.com/261cb681-3385-486c-915a-04611e14df9f/987d1f37-d8e1-4fd1-b4ac-6b7a87206714_carw_1x1x180.jpg?h=22c5552ecf3b9d0f36bd8ec2a64c1ef1	C:/My%20Web%20Sites/Matt%20Prior%20Watson/cdn.myportfolio.com/261cb681-3385-486c-915a-04611e14df9f/987d1f37-d8e1-4fd1-b4ac-6b7a87206714_carw_1x1x180d5ba.jpg	(from https://mattpriorwatson.co.uk/)
01:02:22	11553/11553	---M--	200	added ('OK')	text/css	etag:%2266cf4cbb-2d21%22	https://mattpriorwatson.co.uk/dist/css/main.css	C:/My%20Web%20Sites/Matt%20Prior%20Watson/mattpriorwatson.co.uk/dist/css/main.css	(from https://mattpriorwatson.co.uk/)
01:02:22	74660/74660	---M--	200	added ('OK')	text/css	etag:f60bc2dc6bf6b1d7b0895aa83fe781b1	https://cdn.myportfolio.com/261cb681-3385-486c-915a-04611e14df9f/1e3718b6306669e220c3f1ebf83420921721180245.css?h=74659f2930196dab0a807215b98cf3f6	C:/My%20Web%20Sites/Matt%20Prior%20Watson/cdn.myportfolio.com/261cb681-3385-486c-915a-04611e14df9f/1e3718b6306669e220c3f1ebf834209217211802456802.css	(from https://mattpriorwatson.co.uk/)
01:02:23	0/0	---M--	302	error ('Found')	text/html	date:Sun,%2001%20Sep%202024%2000:02:23%20GMT	http://mattpriorwatson.co.uk/home	C:/My%20Web%20Sites/Matt%20Prior%20Watson/mattpriorwatson.co.uk/home.4.delayed	(from https://mattpriorwatson.co.uk/)
01:02:24	46237/46237	---M--	200	added ('OK')	text/html	date:Sun,%2001%20Sep%202024%2000:02:24%20GMT	https://mattpriorwatson.co.uk/home	C:/My%20Web%20Sites/Matt%20Prior%20Watson/mattpriorwatson.co.uk/home.html	(from https://mattpriorwatson.co.uk/)
01:02:24	54930/54930	---M--	200	added ('OK')	text/html	date:Sun,%2001%20Sep%202024%2000:02:24%20GMT	https://mattpriorwatson.co.uk/featured	C:/My%20Web%20Sites/Matt%20Prior%20Watson/mattpriorwatson.co.uk/featured.html	(from https://mattpriorwatson.co.uk/)
01:02:24	59796/59796	---M--	200	added ('OK')	text/html	date:Sun,%2001%20Sep%202024%2000:02:24%20GMT	https://mattpriorwatson.co.uk/archive	C:/My%20Web%20Sites/Matt%20Prior%20Watson/mattpriorwatson.co.uk/archive.html	(from https://mattpriorwatson.co.uk/)
